,period,location,stateDescription,sectorid,sectorDescription,fueltypeid,fuelTypeDescription,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,consumption-for-eg-btu-units,consumption-uto,consumption-uto-units,consumption-uto-btu,consumption-uto-btu-units,cost,cost-units,cost-per-btu,cost-per-btu-units,generation,generation-units,heat-content,heat-content-units,receipts,receipts-units,receipts-btu,receipts-btu-units,stocks,stocks-units,total-consumption,total-consumption-units,total-consumption-btu,total-consumption-btu-units
0,2023-01,AK,Alaska,99,All Sectors,COW,all coal products,44.714,thousand short tons,0.6687,million MMBtu,45.844,thousand short tons,0.68766,million MMBtu,,dollars per short tons,,dollars per million Btu,64.12939,thousand megawatthours,14.9778,Btu per short tons,27.938,thousand short tons,417.0614,billion Btu,,thousand short tons,90.558,thousand short tons,1.35636,million MMBtu
1,2023-01,AK,Alaska,99,All Sectors,AOR,all renewables,0.0,thousand physical units,0.07494,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,15.09383,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,0.07494,million MMBtu
2,2023-01,AK,Alaska,99,All Sectors,ALL,all fuels,0.0,thousand physical units,4.59356,million MMBtu,0.0,thousand physical units,0.77319,million MMBtu,,dollars per physical units,,dollars per million Btu,569.06793,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,5.36674,million MMBtu
3,2023-01,AK,Alaska,99,All Sectors,REN,renewable,64.657,thousand physical units,0.49845,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,139.2181,thousand megawatthours,0.54,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,64.657,thousand physical units,0.49845,million MMBtu
4,2023-01,AK,Alaska,99,All Sectors,PET,petroleum,151.182,thousand barrels,0.75598,million MMBtu,5.766,thousand barrels,0.03071,million MMBtu,,dollars per barrels,,dollars per million Btu,83.88415,thousand megawatthours,5.0124,Btu per barrels,1.365,thousand barrels,7.644,billion Btu,,thousand barrels,156.948,thousand barrels,0.78669,million MMBtu
5,2023-01,AK,Alaska,99,All Sectors,NGO,natural gas & other gases,2744.498,thousand Mcf,2.67043,million MMBtu,56.397,thousand Mcf,0.05482,million MMBtu,,dollars per Mcf,,dollars per million Btu,282.04029,thousand megawatthours,0.973,Btu per Mcf,2.051,thousand Mcf,2.051,billion Btu,,thousand Mcf,2800.895,thousand Mcf,2.72525,million MMBtu
6,2023-01,AK,Alaska,99,All Sectors,HYC,conventional hydroelectric,0.0,thousand physical units,0.42351,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,124.12427,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,0.42351,million MMBtu
7,2023-02,AK,Alaska,99,All Sectors,COW,all coal products,33.206,thousand short tons,0.50234,million MMBtu,40.122,thousand short tons,0.60183,million MMBtu,,dollars per short tons,,dollars per million Btu,45.25365,thousand megawatthours,15.0579,Btu per short tons,17.585,thousand short tons,268.0224,billion Btu,,thousand short tons,73.328,thousand short tons,1.10417,million MMBtu
8,2023-02,AK,Alaska,99,All Sectors,AOR,all renewables,0.0,thousand physical units,0.08211,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,17.76213,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,0.08211,million MMBtu
9,2023-02,AK,Alaska,99,All Sectors,ALL,all fuels,0.0,thousand physical units,3.80841,million MMBtu,0.0,thousand physical units,0.68558,million MMBtu,,dollars per physical units,,dollars per million Btu,480.69343,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,4.49399,million MMBtu
10,2023-02,AK,Alaska,99,All Sectors,REN,renewable,60.492,thousand physical units,0.46174,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,129.02695,thousand megawatthours,0.53,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,60.492,thousand physical units,0.46174,million MMBtu
11,2023-02,AK,Alaska,99,All Sectors,PET,petroleum,115.022,thousand barrels,0.57189,million MMBtu,5.67,thousand barrels,0.03093,million MMBtu,,dollars per barrels,,dollars per million Btu,64.08309,thousand megawatthours,4.9946,Btu per barrels,2.854,thousand barrels,15.9824,billion Btu,,thousand barrels,120.692,thousand barrels,0.60281,million MMBtu
12,2023-02,AK,Alaska,99,All Sectors,NGO,natural gas & other gases,2333.033,thousand Mcf,2.27245,million MMBtu,54.346,thousand Mcf,0.05282,million MMBtu,,dollars per Mcf,,dollars per million Btu,242.49974,thousand megawatthours,0.974,Btu per Mcf,4.463,thousand Mcf,4.463,billion Btu,,thousand Mcf,2387.379,thousand Mcf,2.32528,million MMBtu
13,2023-02,AK,Alaska,99,All Sectors,HYC,conventional hydroelectric,0.0,thousand physical units,0.37963,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,111.26482,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,0.37963,million MMBtu
14,2023-03,AK,Alaska,99,All Sectors,ALL,all fuels,0.0,thousand physical units,4.63208,million MMBtu,0.0,thousand physical units,0.64312,million MMBtu,,dollars per physical units,,dollars per million Btu,548.14126,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,5.2752,million MMBtu
15,2023-03,AK,Alaska,99,All Sectors,REN,renewable,65.621,thousand physical units,0.43375,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,120.23242,thousand megawatthours,0.53,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,65.621,thousand physical units,0.43375,million MMBtu
16,2023-03,AK,Alaska,99,All Sectors,PET,petroleum,135.526,thousand barrels,0.6949,million MMBtu,8.135,thousand barrels,0.04511,million MMBtu,,dollars per barrels,,dollars per million Btu,73.77843,thousand megawatthours,5.1511,Btu per barrels,2.432,thousand barrels,13.6192,billion Btu,,thousand barrels,143.661,thousand barrels,0.74001,million MMBtu
17,2023-03,AK,Alaska,99,All Sectors,NGO,natural gas & other gases,2758.922,thousand Mcf,2.74238,million MMBtu,58.626,thousand Mcf,0.05828,million MMBtu,,dollars per Mcf,,dollars per million Btu,287.51762,thousand megawatthours,0.994,Btu per Mcf,2.046,thousand Mcf,2.046,billion Btu,,thousand Mcf,2817.548,thousand Mcf,2.80066,million MMBtu
18,2023-03,AK,Alaska,99,All Sectors,HYC,conventional hydroelectric,0.0,thousand physical units,0.34955,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,102.44805,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,0.34955,million MMBtu
19,2023-03,AK,Alaska,99,All Sectors,COW,all coal products,51.11,thousand short tons,0.76105,million MMBtu,35.981,thousand short tons,0.53973,million MMBtu,,dollars per short tons,,dollars per million Btu,66.78879,thousand megawatthours,14.9358,Btu per short tons,36.089,thousand short tons,535.7476,billion Btu,,thousand short tons,87.091,thousand short tons,1.30078,million MMBtu
20,2023-03,AK,Alaska,99,All Sectors,AOR,all renewables,0.0,thousand physical units,0.0842,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,17.78437,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,0.0842,million MMBtu
21,2023-04,AK,Alaska,99,All Sectors,ALL,all fuels,0.0,thousand physical units,4.02734,million MMBtu,0.0,thousand physical units,0.63809,million MMBtu,,dollars per physical units,,dollars per million Btu,477.29224,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,4.66542,million MMBtu
22,2023-04,AK,Alaska,99,All Sectors,REN,renewable,61.628,thousand physical units,0.36608,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,100.6822,thousand megawatthours,0.54,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,61.628,thousand physical units,0.36608,million MMBtu
23,2023-04,AK,Alaska,99,All Sectors,PET,petroleum,149.316,thousand barrels,0.76465,million MMBtu,4.766,thousand barrels,0.02478,million MMBtu,,dollars per barrels,,dollars per million Btu,82.01274,thousand megawatthours,5.1235,Btu per barrels,0.0,thousand barrels,,billion Btu,,thousand barrels,154.082,thousand barrels,0.78943,million MMBtu
24,2023-04,AK,Alaska,99,All Sectors,NGO,natural gas & other gases,2252.814,thousand Mcf,2.24383,million MMBtu,46.582,thousand Mcf,0.0464,million MMBtu,,dollars per Mcf,,dollars per million Btu,235.88888,thousand megawatthours,0.996,Btu per Mcf,7.817,thousand Mcf,7.817,billion Btu,,thousand Mcf,2299.396,thousand Mcf,2.29023,million MMBtu
25,2023-04,AK,Alaska,99,All Sectors,HYC,conventional hydroelectric,0.0,thousand physical units,0.28676,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,84.04455,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,0.28676,million MMBtu
26,2023-04,AK,Alaska,99,All Sectors,COW,all coal products,43.924,thousand short tons,0.65278,million MMBtu,37.795,thousand short tons,0.56691,million MMBtu,,dollars per short tons,,dollars per million Btu,58.91942,thousand megawatthours,14.9254,Btu per short tons,29.843,thousand short tons,441.5468,billion Btu,,thousand short tons,81.719,thousand short tons,1.21969,million MMBtu
27,2023-04,AK,Alaska,99,All Sectors,AOR,all renewables,0.0,thousand physical units,0.07932,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,16.63765,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,0.07932,million MMBtu
28,2023-05,AK,Alaska,99,All Sectors,ALL,all fuels,0.0,thousand physical units,4.1644,million MMBtu,0.0,thousand physical units,0.54705,million MMBtu,,dollars per physical units,,dollars per million Btu,540.22004,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,4.71145,million MMBtu
29,2023-05,AK,Alaska,99,All Sectors,REN,renewable,51.952,thousand physical units,0.69985,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,199.63761,thousand megawatthours,0.53,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,51.952,thousand physical units,0.69985,million MMBtu
30,2023-05,AK,Alaska,99,All Sectors,PET,petroleum,155.584,thousand barrels,0.82093,million MMBtu,4.903,thousand barrels,0.02487,million MMBtu,,dollars per barrels,,dollars per million Btu,79.65306,thousand megawatthours,5.2701,Btu per barrels,2.599,thousand barrels,14.5544,billion Btu,,thousand barrels,160.487,thousand barrels,0.8458,million MMBtu
31,2023-05,AK,Alaska,99,All Sectors,NGO,natural gas & other gases,1981.499,thousand Mcf,1.99138,million MMBtu,37.095,thousand Mcf,0.03732,million MMBtu,,dollars per Mcf,,dollars per million Btu,204.28906,thousand megawatthours,1.005,Btu per Mcf,6.021,thousand Mcf,6.021,billion Btu,,thousand Mcf,2018.594,thousand Mcf,2.0287,million MMBtu
32,2023-05,AK,Alaska,99,All Sectors,HYC,conventional hydroelectric,0.0,thousand physical units,0.63653,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,186.55647,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,0.63653,million MMBtu
33,2023-05,AK,Alaska,99,All Sectors,COW,all coal products,43.611,thousand short tons,0.65224,million MMBtu,32.324,thousand short tons,0.48487,million MMBtu,,dollars per short tons,,dollars per million Btu,56.90632,thousand megawatthours,14.9747,Btu per short tons,29.794,thousand short tons,444.9916,billion Btu,,thousand short tons,75.935,thousand short tons,1.13711,million MMBtu
34,2023-05,AK,Alaska,99,All Sectors,AOR,all renewables,0.0,thousand physical units,0.06332,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,13.08114,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,0.06332,million MMBtu
35,2023-06,AK,Alaska,99,All Sectors,ALL,all fuels,0.0,thousand physical units,4.74089,million MMBtu,0.0,thousand physical units,0.52533,million MMBtu,,dollars per physical units,,dollars per million Btu,570.36679,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,5.26623,million MMBtu
36,2023-06,AK,Alaska,99,All Sectors,REN,renewable,50.006,thousand physical units,0.48085,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,135.63618,thousand megawatthours,0.53,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,50.006,thousand physical units,0.48085,million MMBtu
37,2023-06,AK,Alaska,99,All Sectors,PET,petroleum,137.585,thousand barrels,0.70427,million MMBtu,9.847,thousand barrels,0.05387,million MMBtu,,dollars per barrels,,dollars per million Btu,72.55865,thousand megawatthours,5.1422,Btu per barrels,0.309,thousand barrels,1.7304,billion Btu,,thousand barrels,147.432,thousand barrels,0.75813,million MMBtu
38,2023-06,AK,Alaska,99,All Sectors,NGO,natural gas & other gases,2753.943,thousand Mcf,2.76221,million MMBtu,57.651,thousand Mcf,0.05787,million MMBtu,,dollars per Mcf,,dollars per million Btu,295.34907,thousand megawatthours,1.003,Btu per Mcf,7.12,thousand Mcf,7.12,billion Btu,,thousand Mcf,2811.594,thousand Mcf,2.82007,million MMBtu
39,2023-06,AK,Alaska,99,All Sectors,HYC,conventional hydroelectric,0.0,thousand physical units,0.42507,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,124.58081,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,0.42507,million MMBtu
40,2023-06,AK,Alaska,99,All Sectors,COW,all coal products,53.187,thousand short tons,0.79357,million MMBtu,27.573,thousand short tons,0.4136,million MMBtu,,dollars per short tons,,dollars per million Btu,67.0529,thousand megawatthours,14.9476,Btu per short tons,39.986,thousand short tons,595.5616,billion Btu,,thousand short tons,80.76,thousand short tons,1.20717,million MMBtu
41,2023-06,AK,Alaska,99,All Sectors,AOR,all renewables,0.0,thousand physical units,0.05578,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,11.05537,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,0.05578,million MMBtu
42,2023-07,AK,Alaska,99,All Sectors,ALL,all fuels,0.0,thousand physical units,5.43163,million MMBtu,0.0,thousand physical units,0.50953,million MMBtu,,dollars per physical units,,dollars per million Btu,648.03956,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,5.94116,million MMBtu
43,2023-07,AK,Alaska,99,All Sectors,REN,renewable,61.053,thousand physical units,0.45681,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,127.74261,thousand megawatthours,0.52,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,61.053,thousand physical units,0.45681,million MMBtu
44,2023-07,AK,Alaska,99,All Sectors,PET,petroleum,118.211,thousand barrels,0.6033,million MMBtu,4.978,thousand barrels,0.02823,million MMBtu,,dollars per barrels,,dollars per million Btu,67.09738,thousand megawatthours,5.1265,Btu per barrels,0.929,thousand barrels,5.2024,billion Btu,,thousand barrels,123.189,thousand barrels,0.63152,million MMBtu
45,2023-07,AK,Alaska,99,All Sectors,NGO,natural gas & other gases,3569.09,thousand Mcf,3.56553,million MMBtu,56.323,thousand Mcf,0.05627,million MMBtu,,dollars per Mcf,,dollars per million Btu,380.65698,thousand megawatthours,0.999,Btu per Mcf,8.453,thousand Mcf,8.453,billion Btu,,thousand Mcf,3625.413,thousand Mcf,3.62179,million MMBtu
46,2023-07,AK,Alaska,99,All Sectors,HYC,conventional hydroelectric,0.0,thousand physical units,0.39926,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,117.01693,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,0.39926,million MMBtu
47,2023-07,AK,Alaska,99,All Sectors,COW,all coal products,54.751,thousand short tons,0.806,million MMBtu,28.336,thousand short tons,0.42504,million MMBtu,,dollars per short tons,,dollars per million Btu,72.7406,thousand megawatthours,14.8162,Btu per short tons,37.435,thousand short tons,546.2528,billion Btu,,thousand short tons,83.087,thousand short tons,1.23103,million MMBtu
48,2023-07,AK,Alaska,99,All Sectors,AOR,all renewables,0.0,thousand physical units,0.05755,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,0.05755,million MMBtu
49,2023-08,AK,Alaska,99,All Sectors,COW,all coal products,52.273,thousand short tons,0.76642,million MMBtu,25.531,thousand short tons,0.38296,million MMBtu,,dollars per short tons,,dollars per million Btu,66.24486,thousand megawatthours,14.7727,Btu per short tons,34.732,thousand short tons,503.2972,billion Btu,,thousand short tons,77.804,thousand short tons,1.14938,million MMBtu
50,2023-08,AK,Alaska,99,All Sectors,AOR,all renewables,0.0,thousand physical units,0.06849,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,12.50151,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,0.06849,million MMBtu
51,2023-08,AK,Alaska,99,All Sectors,ALL,all fuels,0.0,thousand physical units,5.34236,million MMBtu,0.0,thousand physical units,0.47258,million MMBtu,,dollars per physical units,,dollars per million Btu,634.8151,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,5.81494,million MMBtu
52,2023-08,AK,Alaska,99,All Sectors,REN,renewable,74.16,thousand physical units,0.46689,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,129.26638,thousand megawatthours,0.52,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,74.16,thousand physical units,0.46689,million MMBtu
53,2023-08,AK,Alaska,99,All Sectors,PET,petroleum,125.249,thousand barrels,0.63604,million MMBtu,5.876,thousand barrels,0.03195,million MMBtu,,dollars per barrels,,dollars per million Btu,68.79556,thousand megawatthours,5.0943,Btu per barrels,2.296,thousand barrels,12.8576,billion Btu,,thousand barrels,131.125,thousand barrels,0.668,million MMBtu
54,2023-08,AK,Alaska,99,All Sectors,NGO,natural gas & other gases,3479.946,thousand Mcf,3.47301,million MMBtu,57.778,thousand Mcf,0.05767,million MMBtu,,dollars per Mcf,,dollars per million Btu,370.71931,thousand megawatthours,0.998,Btu per Mcf,14.285,thousand Mcf,14.285,billion Btu,,thousand Mcf,3537.724,thousand Mcf,3.53067,million MMBtu
55,2023-08,AK,Alaska,99,All Sectors,HYC,conventional hydroelectric,0.0,thousand physical units,0.3984,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,116.76487,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,0.3984,million MMBtu
56,2023-09,AK,Alaska,99,All Sectors,ALL,all fuels,0.0,thousand physical units,4.3737,million MMBtu,0.0,thousand physical units,0.54274,million MMBtu,,dollars per physical units,,dollars per million Btu,511.56392,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,4.91643,million MMBtu
57,2023-09,AK,Alaska,99,All Sectors,REN,renewable,69.761,thousand physical units,0.33037,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,89.42227,thousand megawatthours,0.54,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,69.761,thousand physical units,0.33037,million MMBtu
58,2023-09,AK,Alaska,99,All Sectors,PET,petroleum,104.166,thousand barrels,0.52217,million MMBtu,4.351,thousand barrels,0.02355,million MMBtu,,dollars per barrels,,dollars per million Btu,58.92075,thousand megawatthours,5.0289,Btu per barrels,1.47,thousand barrels,8.232,billion Btu,,thousand barrels,108.517,thousand barrels,0.54572,million MMBtu
59,2023-09,AK,Alaska,99,All Sectors,NGO,natural gas & other gases,2755.982,thousand Mcf,2.75598,million MMBtu,43.044,thousand Mcf,0.04304,million MMBtu,,dollars per Mcf,,dollars per million Btu,295.13041,thousand megawatthours,1.0,Btu per Mcf,10.53,thousand Mcf,10.53,billion Btu,,thousand Mcf,2799.026,thousand Mcf,2.79903,million MMBtu
60,2023-09,AK,Alaska,99,All Sectors,HYC,conventional hydroelectric,0.0,thousand physical units,0.26088,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,76.45933,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,0.26088,million MMBtu
61,2023-09,AK,Alaska,99,All Sectors,COW,all coal products,51.447,thousand short tons,0.76517,million MMBtu,31.743,thousand short tons,0.47615,million MMBtu,,dollars per short tons,,dollars per million Btu,68.28048,thousand megawatthours,14.9215,Btu per short tons,34.989,thousand short tons,518.3054,billion Btu,,thousand short tons,83.19,thousand short tons,1.24132,million MMBtu
62,2023-09,AK,Alaska,99,All Sectors,AOR,all renewables,0.0,thousand physical units,0.06949,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,12.96295,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,0.06949,million MMBtu
63,2023-10,AK,Alaska,99,All Sectors,ALL,all fuels,0.0,thousand physical units,4.32892,million MMBtu,0.0,thousand physical units,0.59924,million MMBtu,,dollars per physical units,,dollars per million Btu,507.74503,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,4.92816,million MMBtu
64,2023-10,AK,Alaska,99,All Sectors,REN,renewable,79.004,thousand physical units,0.36645,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,98.8117,thousand megawatthours,0.55,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,79.004,thousand physical units,0.36645,million MMBtu
65,2023-10,AK,Alaska,99,All Sectors,PET,petroleum,123.3,thousand barrels,0.62244,million MMBtu,4.696,thousand barrels,0.02428,million MMBtu,,dollars per barrels,,dollars per million Btu,69.64543,thousand megawatthours,5.0525,Btu per barrels,0.972,thousand barrels,5.4432,billion Btu,,thousand barrels,127.996,thousand barrels,0.64671,million MMBtu
66,2023-10,AK,Alaska,99,All Sectors,NGO,natural gas & other gases,2687.291,thousand Mcf,2.68729,million MMBtu,57.211,thousand Mcf,0.05721,million MMBtu,,dollars per Mcf,,dollars per million Btu,279.49069,thousand megawatthours,1.0,Btu per Mcf,5.121,thousand Mcf,5.121,billion Btu,,thousand Mcf,2744.502,thousand Mcf,2.7445,million MMBtu
67,2023-10,AK,Alaska,99,All Sectors,HYC,conventional hydroelectric,0.0,thousand physical units,0.28382,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,83.18407,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,0.28382,million MMBtu
68,2023-10,AK,Alaska,99,All Sectors,COW,all coal products,45.105,thousand short tons,0.65275,million MMBtu,34.517,thousand short tons,0.51775,million MMBtu,,dollars per short tons,,dollars per million Btu,59.99722,thousand megawatthours,14.7008,Btu per short tons,29.127,thousand short tons,413.078,billion Btu,,thousand short tons,79.622,thousand short tons,1.1705,million MMBtu
69,2023-10,AK,Alaska,99,All Sectors,AOR,all renewables,0.0,thousand physical units,0.08262,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,15.62763,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,0.08262,million MMBtu
70,2023-11,AK,Alaska,99,All Sectors,ALL,all fuels,0.0,thousand physical units,4.1805,million MMBtu,0.0,thousand physical units,0.71783,million MMBtu,,dollars per physical units,,dollars per million Btu,515.69401,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,4.89833,million MMBtu
71,2023-11,AK,Alaska,99,All Sectors,REN,renewable,60.901,thousand physical units,0.46324,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,129.39955,thousand megawatthours,0.53,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,60.901,thousand physical units,0.46324,million MMBtu
72,2023-11,AK,Alaska,99,All Sectors,PET,petroleum,156.468,thousand barrels,0.79259,million MMBtu,5.109,thousand barrels,0.02672,million MMBtu,,dollars per barrels,,dollars per million Btu,85.93779,thousand megawatthours,5.0707,Btu per barrels,1.844,thousand barrels,10.3264,billion Btu,,thousand barrels,161.577,thousand barrels,0.81931,million MMBtu
73,2023-11,AK,Alaska,99,All Sectors,NGO,natural gas & other gases,2527.119,thousand Mcf,2.53467,million MMBtu,55.161,thousand Mcf,0.05533,million MMBtu,,dollars per Mcf,,dollars per million Btu,262.00986,thousand megawatthours,1.003,Btu per Mcf,16.123,thousand Mcf,16.123,billion Btu,,thousand Mcf,2582.28,thousand Mcf,2.58999,million MMBtu
74,2023-11,AK,Alaska,99,All Sectors,HYC,conventional hydroelectric,0.0,thousand physical units,0.38591,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,113.10362,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,0.38591,million MMBtu
75,2023-11,AK,Alaska,99,All Sectors,COW,all coal products,26.326,thousand short tons,0.39001,million MMBtu,42.385,thousand short tons,0.63578,million MMBtu,,dollars per short tons,,dollars per million Btu,38.55281,thousand megawatthours,14.9291,Btu per short tons,8.918,thousand short tons,128.9004,billion Btu,,thousand short tons,68.711,thousand short tons,1.0258,million MMBtu
76,2023-11,AK,Alaska,99,All Sectors,AOR,all renewables,0.0,thousand physical units,0.07733,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,16.29593,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,0.07733,million MMBtu
77,2023-12,AK,Alaska,99,All Sectors,ALL,all fuels,0.0,thousand physical units,4.56078,million MMBtu,0.0,thousand physical units,0.70901,million MMBtu,,dollars per physical units,,dollars per million Btu,558.9963,thousand megawatthours,0.0,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,0.0,thousand physical units,5.26979,million MMBtu
78,2023-12,AK,Alaska,99,All Sectors,REN,renewable,62.601,thousand physical units,0.46763,million MMBtu,0.0,thousand physical units,0.0,million MMBtu,,dollars per physical units,,dollars per million Btu,131.08986,thousand megawatthours,0.498,Btu per physical units,,thousand physical units,,billion Btu,,thousand physical units,62.601,thousand physical units,0.46763,million MMBtu
