,period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,customers-units,price-units,revenue-units,sales-units
220,2023,PACC,Pacific Contiguous,ALL,all sectors,21889511,19.15,72958.5132,380923.81182,number of customers,cents per kilowatthour,million dollars,million kilowatthours
221,2023,PACC,Pacific Contiguous,RES,residential,19269295,21.69,30850.36347,142202.52275,number of customers,cents per kilowatthour,million dollars,million kilowatthours
222,2023,PACC,Pacific Contiguous,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
223,2023,PACC,Pacific Contiguous,IND,industrial,199498,13.15,10393.0207,79041.32319,number of customers,cents per kilowatthour,million dollars,million kilowatthours
224,2023,PACC,Pacific Contiguous,COM,commercial,2420699,19.9,31607.56468,158828.51279,number of customers,cents per kilowatthour,million dollars,million kilowatthours
225,2023,PACN,Pacific Noncontiguous,ALL,all sectors,863968,31.72,4723.54822,14891.29764,number of customers,cents per kilowatthour,million dollars,million kilowatthours
226,2023,PACN,Pacific Noncontiguous,RES,residential,744562,34.39,1630.63618,4741.37365,number of customers,cents per kilowatthour,million dollars,million kilowatthours
227,2023,PACN,Pacific Noncontiguous,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
228,2023,PACN,Pacific Noncontiguous,IND,industrial,1997,30.52,1468.3905,4811.01318,number of customers,cents per kilowatthour,million dollars,million kilowatthours
229,2023,PACN,Pacific Noncontiguous,COM,commercial,117409,30.43,1624.52154,5338.91081,number of customers,cents per kilowatthour,million dollars,million kilowatthours
230,2023,RI,Rhode Island,ALL,all sectors,487183,21.97,1594.32923,7256.08728,number of customers,cents per kilowatthour,million dollars,million kilowatthours
231,2023,RI,Rhode Island,COM,commercial,57600,17.52,631.79253,3605.99786,number of customers,cents per kilowatthour,million dollars,million kilowatthours
232,2023,RI,Rhode Island,IND,industrial,1532,19.08,119.99309,628.88286,number of customers,cents per kilowatthour,million dollars,million kilowatthours
233,2023,RI,Rhode Island,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
234,2023,RI,Rhode Island,RES,residential,428050,27.98,838.01163,2994.99297,number of customers,cents per kilowatthour,million dollars,million kilowatthours
235,2023,SAT,South Atlantic,ALL,all sectors,34433803,12.03,101934.60968,847265.82706,number of customers,cents per kilowatthour,million dollars,million kilowatthours
236,2023,SAT,South Atlantic,RES,residential,30346066,14.55,54289.00303,373039.80613,number of customers,cents per kilowatthour,million dollars,million kilowatthours
237,2023,SAT,South Atlantic,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
238,2023,SAT,South Atlantic,IND,industrial,88401,7.68,10686.56495,139141.59578,number of customers,cents per kilowatthour,million dollars,million kilowatthours
239,2023,SAT,South Atlantic,COM,commercial,3999323,11.03,36838.64977,333907.51753,number of customers,cents per kilowatthour,million dollars,million kilowatthours
240,2023,SC,South Carolina,ALL,all sectors,2952063,10.76,8852.04716,82275.80688,number of customers,cents per kilowatthour,million dollars,million kilowatthours
241,2023,SC,South Carolina,COM,commercial,405742,10.59,2680.62805,25305.13231,number of customers,cents per kilowatthour,million dollars,million kilowatthours
242,2023,SC,South Carolina,IND,industrial,3550,6.8,1734.7969,25495.99295,number of customers,cents per kilowatthour,million dollars,million kilowatthours
243,2023,SC,South Carolina,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
244,2023,SC,South Carolina,RES,residential,2542771,14.1,4436.62222,31474.68162,number of customers,cents per kilowatthour,million dollars,million kilowatthours
245,2023,SD,South Dakota,ALL,all sectors,514813,10.42,1403.48344,13471.6492,number of customers,cents per kilowatthour,million dollars,million kilowatthours
246,2023,SD,South Dakota,COM,commercial,77695,10.04,496.88013,4947.76053,number of customers,cents per kilowatthour,million dollars,million kilowatthours
247,2023,SD,South Dakota,IND,industrial,4324,8.01,259.36244,3238.49054,number of customers,cents per kilowatthour,million dollars,million kilowatthours
